Sequence	RepeatType	Strain	Species	Gene	Allele	SeqID	Position
e13_het-E1A__L28125_fixedlikeEspagne2002_561	e13	Pa	anserina	het-e	het-E1	561	5
e14_het-E1A__L28125_fixedlikeEspagne2002_562	e14	Pa	anserina	het-e	het-E1	562	6
e15_het-E1A__L28125_fixedlikeEspagne2002_563	e15	Pa	anserina	het-e	het-E1	563	7
e9_het-E1A__L28125_fixedlikeEspagne2002_564	e9	Pa	anserina	het-e	het-E1	564	8
e18_het-E1A__L28125_fixedlikeEspagne2002_565	e18	Pa	anserina	het-e	het-E1	565	9
e10_het-E1A__L28125_fixedlikeEspagne2002_566	e10	Pa	anserina	het-e	het-E1	566	10
e11_het-e2C*4__AF323583.1_567	e11	Pa	anserina	het-e	het-e2C*4__AF323583.1	567	1
e2_het-e2C*4__AF323583.1_568	e2	Pa	anserina	het-e	het-e2C*4__AF323583.1	568	2
e1_het-e2C*4__AF323583.1_569	e1	Pa	anserina	het-e	het-e2C*4__AF323583.1	569	3
e19_het-e2C*4__AF323583.1_570	e19	Pa	anserina	het-e	het-e2C*4__AF323583.1	570	4
e13_het-e2C*4__AF323583.1_571	e13	Pa	anserina	het-e	het-e2C*4__AF323583.1	571	5
e31_het-e2C*4__AF323583.1_572	e31	Pa	anserina	het-e	het-e2C*4__AF323583.1	572	6
e6_het-e2C*4__AF323583.1_573	e6	Pa	anserina	het-e	het-e2C*4__AF323583.1	573	7
e15_het-e2C*4__AF323583.1_574	e15	Pa	anserina	het-e	het-e2C*4__AF323583.1	574	8
e9_het-e2C*4__AF323583.1_575	e9	Pa	anserina	het-e	het-e2C*4__AF323583.1	575	9
e22_het-e2C*4__AF323583.1_576	e22	Pa	anserina	het-e	het-e2C*4__AF323583.1	576	10
e1_hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119_577	e1	PaWa137m	anserina	?	hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119	577	1
e2_hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119_578	e2	PaWa137m	anserina	?	hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119	578	2
e3_hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119_579	e3	PaWa137m	anserina	?	hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119	579	3
e1_hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119_580	e1	PaWa137m	anserina	?	hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119	580	4
e4_hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119_581	e4	PaWa137m	anserina	?	hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119	581	5
e24_hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119_582	e24	PaWa137m	anserina	?	hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119	582	6
e15_hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119_583	e15	PaWa137m	anserina	?	hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119	583	7
e10_hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119_584	e10	PaWa137m	anserina	?	hetE__PaWa137m-allkmers_NODE_10_length_322717_cov_71.172251_116252-120119	584	8
e1_hetE__PaWa63p-default1_NODE_77_length_141770_cov_46.129993_1-2738_585	e1	PaWa63p	anserina	?	hetE__PaWa63p-default1_NODE_77_length_141770_cov_46.129993_1-2738	585	1
e1_hetE__PaWa63p-allkmers1_NODE_25_length_320054_cov_32.746919_316768-319705_586	e1	PaWa63p	anserina	?	hetE__PaWa63p-allkmers1_NODE_25_length_320054_cov_32.746919_316768-319705	586	1
e2_hetE__PaWa63p-allkmers1_NODE_25_length_320054_cov_32.746919_316768-319705_587	e2	PaWa63p	anserina	?	hetE__PaWa63p-allkmers1_NODE_25_length_320054_cov_32.746919_316768-319705	587	2
e3_hetE__PaWa63p-allkmers1_NODE_25_length_320054_cov_32.746919_316768-319705_588	e3	PaWa63p	anserina	?	hetE__PaWa63p-allkmers1_NODE_25_length_320054_cov_32.746919_316768-319705	588	3
e32_hetE__PaYp-allkmers1_NODE_93_length_140725_cov_33.076076_1-2823_589	e32	PaYp	anserina	?	hetE__PaYp-allkmers1_NODE_93_length_140725_cov_33.076076_1-2823	589	1
e14_hetE__PaYp-allkmers1_NODE_93_length_140725_cov_33.076076_1-2823_590	e14	PaYp	anserina	?	hetE__PaYp-allkmers1_NODE_93_length_140725_cov_33.076076_1-2823	590	2
e10_hetE__PaYp-allkmers2_NODE_58_length_214049_cov_33.900062_213606-214049_591	e10	PaYp	anserina	?	hetE__PaYp-allkmers2_NODE_58_length_214049_cov_33.900062_213606-214049	591	1
e1_hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342_592	e1	PaZp	anserina	?	hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342	592	1
e2_hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342_593	e2	PaZp	anserina	?	hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342	593	2
e1_hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342_594	e1	PaZp	anserina	?	hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342	594	3
e19_hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342_595	e19	PaZp	anserina	?	hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342	595	4
e20_hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342_596	e20	PaZp	anserina	?	hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342	596	5
e14_hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342_597	e14	PaZp	anserina	?	hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342	597	6
e15_hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342_598	e15	PaZp	anserina	?	hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342	598	7
e9_hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342_599	e9	PaZp	anserina	?	hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342	599	8
e9_hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342_600	e9	PaZp	anserina	?	hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342	600	9
e22_hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342_601	e22	PaZp	anserina	?	hetE__PaZp-allkmers_NODE_43_length_242734_cov_32.572289_124223-128342	601	10
e1_hetE__PaZp-default1_NODE_92_length_126944_cov_48.876072_124207-126944_602	e1	PaZp	anserina	?	hetE__PaZp-default1_NODE_92_length_126944_cov_48.876072_124207-126944	602	1
e33_hetE__PaZp-default2_NODE_108_length_115275_cov_49.467905_1-906_603	e33	PaZp	anserina	?	hetE__PaZp-default2_NODE_108_length_115275_cov_49.467905_1-906	603	1
e9_hetE__PaZp-default2_NODE_108_length_115275_cov_49.467905_1-906_604	e9	PaZp	anserina	?	hetE__PaZp-default2_NODE_108_length_115275_cov_49.467905_1-906	604	2
e9_hetE__PaZp-default2_NODE_108_length_115275_cov_49.467905_1-906_605	e9	PaZp	anserina	?	hetE__PaZp-default2_NODE_108_length_115275_cov_49.467905_1-906	605	3
e22_hetE__PaZp-default2_NODE_108_length_115275_cov_49.467905_1-906_606	e22	PaZp	anserina	?	hetE__PaZp-default2_NODE_108_length_115275_cov_49.467905_1-906	606	4
