Sequence	RepeatType	Strain	Species	Gene	Allele	SeqID	Position
y4_hnwd3__PaWa53m_638	y4	PaWa53m	anserina	hnwd3	hnwd3	638	5
y5_hnwd3__PaWa53m_639	y5	PaWa53m	anserina	hnwd3	hnwd3	639	6
y6_hnwd3__PaWa53m_640	y6	PaWa53m	anserina	hnwd3	hnwd3	640	7
y7_hnwd3__PaWa53m_641	y7	PaWa53m	anserina	hnwd3	hnwd3	641	8
y8_hnwd3__PaWa53m_642	y8	PaWa53m	anserina	hnwd3	hnwd3	642	9
y9_hnwd3__PaWa53m_643	y9	PaWa53m	anserina	hnwd3	hnwd3	643	10
y1_hnwd3__PaWa100p_644	y1	PaWa100p	anserina	hnwd3	hnwd3	644	1
y2_hnwd3__PaWa100p_645	y2	PaWa100p	anserina	hnwd3	hnwd3	645	2
y3_hnwd3__PaWa100p_646	y3	PaWa100p	anserina	hnwd3	hnwd3	646	3
y4_hnwd3__PaWa100p_647	y4	PaWa100p	anserina	hnwd3	hnwd3	647	4
y4_hnwd3__PaWa100p_648	y4	PaWa100p	anserina	hnwd3	hnwd3	648	5
y5_hnwd3__PaWa100p_649	y5	PaWa100p	anserina	hnwd3	hnwd3	649	6
y6_hnwd3__PaWa100p_650	y6	PaWa100p	anserina	hnwd3	hnwd3	650	7
y7_hnwd3__PaWa100p_651	y7	PaWa100p	anserina	hnwd3	hnwd3	651	8
y8_hnwd3__PaWa100p_652	y8	PaWa100p	anserina	hnwd3	hnwd3	652	9
y9_hnwd3__PaWa100p_653	y9	PaWa100p	anserina	hnwd3	hnwd3	653	10
y10_hnwd3__PaWa21m_654	y10	PaWa21m	anserina	hnwd3	hnwd3	654	1
y11_hnwd3__PaWa21m_655	y11	PaWa21m	anserina	hnwd3	hnwd3	655	2
y2_hnwd3__PaWa21m_656	y2	PaWa21m	anserina	hnwd3	hnwd3	656	3
y4_hnwd3__PaWa21m_657	y4	PaWa21m	anserina	hnwd3	hnwd3	657	4
y12_hnwd3__PaWa21m_658	y12	PaWa21m	anserina	hnwd3	hnwd3	658	5
y13_hnwd3__PaWa21m_659	y13	PaWa21m	anserina	hnwd3	hnwd3	659	6
y4_hnwd3__PaWa21m_660	y4	PaWa21m	anserina	hnwd3	hnwd3	660	7
y9_hnwd3__PaWa21m_661	y9	PaWa21m	anserina	hnwd3	hnwd3	661	8
y9_hnwd3__PaWa21m_662	y9	PaWa21m	anserina	hnwd3	hnwd3	662	9
y9_hnwd3__PaWa21m_663	y9	PaWa21m	anserina	hnwd3	hnwd3	663	10
y14_hnwd3__PaWa63p_664	y14	PaWa63p	anserina	hnwd3	hnwd3	664	1
y15_hnwd3__PaWa63p_665	y15	PaWa63p	anserina	hnwd3	hnwd3	665	2
y4_hnwd3__PaWa63p_666	y4	PaWa63p	anserina	hnwd3	hnwd3	666	3
y2_hnwd3__PaWa63p_667	y2	PaWa63p	anserina	hnwd3	hnwd3	667	4
y16_hnwd3__PaWa63p_668	y16	PaWa63p	anserina	hnwd3	hnwd3	668	5
y3_hnwd3__PaWa63p_669	y3	PaWa63p	anserina	hnwd3	hnwd3	669	6
y4_hnwd3__PaWa63p_670	y4	PaWa63p	anserina	hnwd3	hnwd3	670	7
y4_hnwd3__PaWa63p_671	y4	PaWa63p	anserina	hnwd3	hnwd3	671	8
y5_hnwd3__PaWa63p_672	y5	PaWa63p	anserina	hnwd3	hnwd3	672	9
y8_hnwd3__PaWa63p_673	y8	PaWa63p	anserina	hnwd3	hnwd3	673	10
y9_hnwd3__PaWa63p_674	y9	PaWa63p	anserina	hnwd3	hnwd3	674	11
y10_hnwd3__PaWa58m_675	y10	PaWa58m	anserina	hnwd3	hnwd3	675	1
y5_hnwd3__PaWa58m_676	y5	PaWa58m	anserina	hnwd3	hnwd3	676	2
y1_hnwd3__PaWa58m_677	y1	PaWa58m	anserina	hnwd3	hnwd3	677	3
y12_hnwd3__PaWa58m_678	y12	PaWa58m	anserina	hnwd3	hnwd3	678	4
y2_hnwd3__PaWa58m_679	y2	PaWa58m	anserina	hnwd3	hnwd3	679	5
y12_hnwd3__PaWa58m_680	y12	PaWa58m	anserina	hnwd3	hnwd3	680	6
y17_hnwd3__PaWa58m_681	y17	PaWa58m	anserina	hnwd3	hnwd3	681	7
y2_hnwd3__PaWa58m_682	y2	PaWa58m	anserina	hnwd3	hnwd3	682	8
y9_hnwd3__PaWa58m_683	y9	PaWa58m	anserina	hnwd3	hnwd3	683	9
y18_hnwd3__PaWa28m_684	y18	PaWa28m	anserina	hnwd3	hnwd3	684	1
y1_hnwd3__PaWa28m_685	y1	PaWa28m	anserina	hnwd3	hnwd3	685	2
y4_hnwd3__PaWa28m_686	y4	PaWa28m	anserina	hnwd3	hnwd3	686	3
y13_hnwd3__PaWa28m_687	y13	PaWa28m	anserina	hnwd3	hnwd3	687	4
y7_hnwd3__PaWa28m_688	y7	PaWa28m	anserina	hnwd3	hnwd3	688	5
y4_hnwd3__PaWa28m_689	y4	PaWa28m	anserina	hnwd3	hnwd3	689	6
y4_hnwd3__PaWa28m_690	y4	PaWa28m	anserina	hnwd3	hnwd3	690	7
y9_hnwd3__PaWa28m_691	y9	PaWa28m	anserina	hnwd3	hnwd3	691	8
y10_hnwd3__PaWa87p_692	y10	PaWa87p	anserina	hnwd3	hnwd3	692	1
y5_hnwd3__PaWa87p_693	y5	PaWa87p	anserina	hnwd3	hnwd3	693	2
y4_hnwd3__PaWa87p_694	y4	PaWa87p	anserina	hnwd3	hnwd3	694	3
y10_hnwd3__PaWa137m_695	y10	PaWa137m	anserina	hnwd3	hnwd3	695	1
y15_hnwd3__PaWa137m_696	y15	PaWa137m	anserina	hnwd3	hnwd3	696	2
y1_hnwd3__PaWa137m_697	y1	PaWa137m	anserina	hnwd3	hnwd3	697	3
y9_hnwd3__PaWa137m_698	y9	PaWa137m	anserina	hnwd3	hnwd3	698	4
y10_hnwd3__PaTgp_699	y10	PaTgp	anserina	hnwd3	hnwd3	699	1
y5_hnwd3__PaTgp_700	y5	PaTgp	anserina	hnwd3	hnwd3	700	2
y1_hnwd3__PaTgp_701	y1	PaTgp	anserina	hnwd3	hnwd3	701	3
y4_hnwd3__PaTgp_702	y4	PaTgp	anserina	hnwd3	hnwd3	702	4
y19_hnwd3__PaTgp_703	y19	PaTgp	anserina	hnwd3	hnwd3	703	5
y4_hnwd3__PaTgp_704	y4	PaTgp	anserina	hnwd3	hnwd3	704	6
y13_hnwd3__PaTgp_705	y13	PaTgp	anserina	hnwd3	hnwd3	705	7
y2_hnwd3__PaTgp_706	y2	PaTgp	anserina	hnwd3	hnwd3	706	8
y4_hnwd3__PaTgp_707	y4	PaTgp	anserina	hnwd3	hnwd3	707	9
y10_hnwd3__PaYp_708	y10	PaYp	anserina	hnwd3	hnwd3	708	1
y5_hnwd3__PaYp_709	y5	PaYp	anserina	hnwd3	hnwd3	709	2
y1_hnwd3__PaYp_710	y1	PaYp	anserina	hnwd3	hnwd3	710	3
y4_hnwd3__PaYp_711	y4	PaYp	anserina	hnwd3	hnwd3	711	4
y20_hnwd3__PaYp_712	y20	PaYp	anserina	hnwd3	hnwd3	712	5
y4_hnwd3__PaYp_713	y4	PaYp	anserina	hnwd3	hnwd3	713	6
y21_hnwd3__PaYp_714	y21	PaYp	anserina	hnwd3	hnwd3	714	7
y4_hnwd3__PaYp_715	y4	PaYp	anserina	hnwd3	hnwd3	715	8
y14_hnwd3__PaYp_716	y14	PaYp	anserina	hnwd3	hnwd3	716	9
y9_hnwd3__PaYp_717	y9	PaYp	anserina	hnwd3	hnwd3	717	10
y1_hnwd3__PaZp.R10_718	y1	PaZp	anserina	hnwd3	hnwd3	718	1
y2_hnwd3__PaZp.R10_719	y2	PaZp	anserina	hnwd3	hnwd3	719	2
y3_hnwd3__PaZp.R10_720	y3	PaZp	anserina	hnwd3	hnwd3	720	3
y4_hnwd3__PaZp.R10_721	y4	PaZp	anserina	hnwd3	hnwd3	721	4
y4_hnwd3__PaZp.R10_722	y4	PaZp	anserina	hnwd3	hnwd3	722	5
y5_hnwd3__PaZp.R10_723	y5	PaZp	anserina	hnwd3	hnwd3	723	6
y6_hnwd3__PaZp.R10_724	y6	PaZp	anserina	hnwd3	hnwd3	724	7
y7_hnwd3__PaZp.R10_725	y7	PaZp	anserina	hnwd3	hnwd3	725	8
y8_hnwd3__PaZp.R10_726	y8	PaZp	anserina	hnwd3	hnwd3	726	9
y9_hnwd3__PaZp.R10_727	y9	PaZp	anserina	hnwd3	hnwd3	727	10
n1_nwd1__PaWa63p_728	n1	PaWa63p	anserina	nwd1	nwd1	728	1
n2_nwd1__PaWa63p_729	n2	PaWa63p	anserina	nwd1	nwd1	729	2
n3_nwd1__PaWa63p_730	n3	PaWa63p	anserina	nwd1	nwd1	730	3
n4_nwd1__PaWa63p_731	n4	PaWa63p	anserina	nwd1	nwd1	731	4
n5_nwd1__PaWa63p_732	n5	PaWa63p	anserina	nwd1	nwd1	732	5
n4_nwd1__PaWa63p_733	n4	PaWa63p	anserina	nwd1	nwd1	733	6
n2_nwd1__PaWa63p_734	n2	PaWa63p	anserina	nwd1	nwd1	734	7
n6_nwd1__PaWa63p_735	n6	PaWa63p	anserina	nwd1	nwd1	735	8
n7_nwd1__PaWa63p_736	n7	PaWa63p	anserina	nwd1	nwd1	736	9
n8_nwd1__PaWa63p_737	n8	PaWa63p	anserina	nwd1	nwd1	737	10
n9_nwd1__PaWa63p_738	n9	PaWa63p	anserina	nwd1	nwd1	738	11
n1_nwd1__Podan2_739	n1	PaSp	anserina	nwd1	nwd1	739	1
n2_nwd1__Podan2_740	n2	PaSp	anserina	nwd1	nwd1	740	2
n3_nwd1__Podan2_741	n3	PaSp	anserina	nwd1	nwd1	741	3
n2_nwd1__Podan2_742	n2	PaSp	anserina	nwd1	nwd1	742	4
n6_nwd1__Podan2_743	n6	PaSp	anserina	nwd1	nwd1	743	5
n7_nwd1__Podan2_744	n7	PaSp	anserina	nwd1	nwd1	744	6
n8_nwd1__Podan2_745	n8	PaSp	anserina	nwd1	nwd1	745	7
n9_nwd1__Podan2_746	n9	PaSp	anserina	nwd1	nwd1	746	8
n10_nwd1__PaWa58m_747	n10	PaWa58m	anserina	nwd1	nwd1	747	1
n11_nwd1__PaWa58m_748	n11	PaWa58m	anserina	nwd1	nwd1	748	2
n12_nwd1__PaWa58m_749	n12	PaWa58m	anserina	nwd1	nwd1	749	3
n5_nwd1__PaWa58m_750	n5	PaWa58m	anserina	nwd1	nwd1	750	4
n4_nwd1__PaWa58m_751	n4	PaWa58m	anserina	nwd1	nwd1	751	5
n2_nwd1__PaWa58m_752	n2	PaWa58m	anserina	nwd1	nwd1	752	6
n5_nwd1__PaWa58m_753	n5	PaWa58m	anserina	nwd1	nwd1	753	7
n12_nwd1__PaWa58m_754	n12	PaWa58m	anserina	nwd1	nwd1	754	8
n5_nwd1__PaWa58m_755	n5	PaWa58m	anserina	nwd1	nwd1	755	9
n4_nwd1__PaWa58m_756	n4	PaWa58m	anserina	nwd1	nwd1	756	10
n2_nwd1__PaWa58m_757	n2	PaWa58m	anserina	nwd1	nwd1	757	11
n6_nwd1__PaWa58m_758	n6	PaWa58m	anserina	nwd1	nwd1	758	12
n7_nwd1__PaWa58m_759	n7	PaWa58m	anserina	nwd1	nwd1	759	13
n13_nwd1__PaWa87p_760	n13	PaWa87p	anserina	nwd1	nwd1	760	1
n14_nwd1__PaWa87p_761	n14	PaWa87p	anserina	nwd1	nwd1	761	2
n2_nwd1__PaWa87p_762	n2	PaWa87p	anserina	nwd1	nwd1	762	3
n2_nwd1__PaWa87p_763	n2	PaWa87p	anserina	nwd1	nwd1	763	4
n15_nwd1__PaWa87p_764	n15	PaWa87p	anserina	nwd1	nwd1	764	5
n15_nwd1__PaWa87p_765	n15	PaWa87p	anserina	nwd1	nwd1	765	6
n16_nwd1__PaWa87p_766	n16	PaWa87p	anserina	nwd1	nwd1	766	7
n16_nwd1__PaWa87p_767	n16	PaWa87p	anserina	nwd1	nwd1	767	8
n2_nwd1__PaWa87p_768	n2	PaWa87p	anserina	nwd1	nwd1	768	9
n17_nwd1__PaWa87p_769	n17	PaWa87p	anserina	nwd1	nwd1	769	10
n18_nwd1__PaWa87p_770	n18	PaWa87p	anserina	nwd1	nwd1	770	11
n2_nwd1__PaWa87p_771	n2	PaWa87p	anserina	nwd1	nwd1	771	12
n19_nwd1__PaWa87p_772	n19	PaWa87p	anserina	nwd1	nwd1	772	13
n10_nwd1__PaWa100p_773	n10	PaWa100p	anserina	nwd1	nwd1	773	1
n6_nwd1__PaWa100p_774	n6	PaWa100p	anserina	nwd1	nwd1	774	2
n20_nwd1__PaWa100p_775	n20	PaWa100p	anserina	nwd1	nwd1	775	3
n21_nwd1__PaWa100p_776	n21	PaWa100p	anserina	nwd1	nwd1	776	4
n4_nwd1__PaWa100p_777	n4	PaWa100p	anserina	nwd1	nwd1	777	5
n22_nwd1__PaWa100p_778	n22	PaWa100p	anserina	nwd1	nwd1	778	6
n19_nwd1__PaWa100p_779	n19	PaWa100p	anserina	nwd1	nwd1	779	7
n23_nwd1__PaWa100p_780	n23	PaWa100p	anserina	nwd1	nwd1	780	8
n13_nwd1__PaWa137m_781	n13	PaWa137m	anserina	nwd1	nwd1	781	1
n14_nwd1__PaWa137m_782	n14	PaWa137m	anserina	nwd1	nwd1	782	2
n2_nwd1__PaWa137m_783	n2	PaWa137m	anserina	nwd1	nwd1	783	3
n2_nwd1__PaWa137m_784	n2	PaWa137m	anserina	nwd1	nwd1	784	4
n2_nwd1__PaWa137m_785	n2	PaWa137m	anserina	nwd1	nwd1	785	5
n15_nwd1__PaWa137m_786	n15	PaWa137m	anserina	nwd1	nwd1	786	6
n16_nwd1__PaWa137m_787	n16	PaWa137m	anserina	nwd1	nwd1	787	7
n18_nwd1__PaWa137m_788	n18	PaWa137m	anserina	nwd1	nwd1	788	8
n2_nwd1__PaWa137m_789	n2	PaWa137m	anserina	nwd1	nwd1	789	9
n19_nwd1__PaWa137m_790	n19	PaWa137m	anserina	nwd1	nwd1	790	10
n13_nwd1__PaWa21m_791	n13	PaWa21m	anserina	nwd1	nwd1	791	1
n14_nwd1__PaWa21m_792	n14	PaWa21m	anserina	nwd1	nwd1	792	2
n2_nwd1__PaWa21m_793	n2	PaWa21m	anserina	nwd1	nwd1	793	3
n2_nwd1__PaWa21m_794	n2	PaWa21m	anserina	nwd1	nwd1	794	4
n15_nwd1__PaWa21m_795	n15	PaWa21m	anserina	nwd1	nwd1	795	5
n15_nwd1__PaWa21m_796	n15	PaWa21m	anserina	nwd1	nwd1	796	6
n16_nwd1__PaWa21m_797	n16	PaWa21m	anserina	nwd1	nwd1	797	7
n18_nwd1__PaWa21m_798	n18	PaWa21m	anserina	nwd1	nwd1	798	8
n2_nwd1__PaWa21m_799	n2	PaWa21m	anserina	nwd1	nwd1	799	9
n19_nwd1__PaWa21m_800	n19	PaWa21m	anserina	nwd1	nwd1	800	10
n10_nwd1__PaWa28m_801	n10	PaWa28m	anserina	nwd1	nwd1	801	1
n11_nwd1__PaWa28m_802	n11	PaWa28m	anserina	nwd1	nwd1	802	2
n19_nwd1__PaWa28m_803	n19	PaWa28m	anserina	nwd1	nwd1	803	3
n9_nwd1__PaWa28m_804	n9	PaWa28m	anserina	nwd1	nwd1	804	4
n13_nwd1__PaWa46p_805	n13	PaWa46p	anserina	nwd1	nwd1	805	1
n14_nwd1__PaWa46p_806	n14	PaWa46p	anserina	nwd1	nwd1	806	2
n2_nwd1__PaWa46p_807	n2	PaWa46p	anserina	nwd1	nwd1	807	3
n2_nwd1__PaWa46p_808	n2	PaWa46p	anserina	nwd1	nwd1	808	4
n15_nwd1__PaWa46p_809	n15	PaWa46p	anserina	nwd1	nwd1	809	5
n15_nwd1__PaWa46p_810	n15	PaWa46p	anserina	nwd1	nwd1	810	6
n16_nwd1__PaWa46p_811	n16	PaWa46p	anserina	nwd1	nwd1	811	7
n2_nwd1__PaWa46p_812	n2	PaWa46p	anserina	nwd1	nwd1	812	8
n19_nwd1__PaWa46p_813	n19	PaWa46p	anserina	nwd1	nwd1	813	9
n24_nwd1__PaWa53m_814	n24	PaWa53m	anserina	nwd1	nwd1	814	1
n12_nwd1__PaWa53m_815	n12	PaWa53m	anserina	nwd1	nwd1	815	2
n12_nwd1__PaWa53m_816	n12	PaWa53m	anserina	nwd1	nwd1	816	3
n12_nwd1__PaWa53m_817	n12	PaWa53m	anserina	nwd1	nwd1	817	4
n9_nwd1__PaWa53m_818	n9	PaWa53m	anserina	nwd1	nwd1	818	5
n4_nwd1__PaWa53m_819	n4	PaWa53m	anserina	nwd1	nwd1	819	6
n12_nwd1__PaWa53m_820	n12	PaWa53m	anserina	nwd1	nwd1	820	7
n25_nwd1__PaWa53m_821	n25	PaWa53m	anserina	nwd1	nwd1	821	8
n26_nwd1__PaWa53m_822	n26	PaWa53m	anserina	nwd1	nwd1	822	9
n10_nwd1__PaZp.R10_823	n10	PaZp	anserina	nwd1	nwd1	823	1
n6_nwd1__PaZp.R10_824	n6	PaZp	anserina	nwd1	nwd1	824	2
n3_nwd1__PaZp.R10_825	n3	PaZp	anserina	nwd1	nwd1	825	3
n27_nwd1__PaZp.R10_826	n27	PaZp	anserina	nwd1	nwd1	826	4
n28_nwd1__PaZp.R10_827	n28	PaZp	anserina	nwd1	nwd1	827	5
n6_nwd1__PaZp.R10_828	n6	PaZp	anserina	nwd1	nwd1	828	6
n3_nwd1__PaZp.R10_829	n3	PaZp	anserina	nwd1	nwd1	829	7
n27_nwd1__PaZp.R10_830	n27	PaZp	anserina	nwd1	nwd1	830	8
n29_nwd1__PaZp.R10_831	n29	PaZp	anserina	nwd1	nwd1	831	9
n19_nwd1__PaZp.R10_832	n19	PaZp	anserina	nwd1	nwd1	832	10
n6_nwd1__PaZp.R10_833	n6	PaZp	anserina	nwd1	nwd1	833	11
n7_nwd1__PaZp.R10_834	n7	PaZp	anserina	nwd1	nwd1	834	12
n19_nwd1__PaZp.R10_835	n19	PaZp	anserina	nwd1	nwd1	835	13
n9_nwd1__PaZp.R10_836	n9	PaZp	anserina	nwd1	nwd1	836	14
n13_nwd1__PaYp_837	n13	PaYp	anserina	nwd1	nwd1	837	1
n14_nwd1__PaYp_838	n14	PaYp	anserina	nwd1	nwd1	838	2
n2_nwd1__PaYp_839	n2	PaYp	anserina	nwd1	nwd1	839	3
n2_nwd1__PaYp_840	n2	PaYp	anserina	nwd1	nwd1	840	4
n19_nwd1__PaYp_841	n19	PaYp	anserina	nwd1	nwd1	841	5
n2_nwd1__PaYp_842	n2	PaYp	anserina	nwd1	nwd1	842	6
n15_nwd1__PaYp_843	n15	PaYp	anserina	nwd1	nwd1	843	7
n15_nwd1__PaYp_844	n15	PaYp	anserina	nwd1	nwd1	844	8
n16_nwd1__PaYp_845	n16	PaYp	anserina	nwd1	nwd1	845	9
n18_nwd1__PaYp_846	n18	PaYp	anserina	nwd1	nwd1	846	10
n2_nwd1__PaYp_847	n2	PaYp	anserina	nwd1	nwd1	847	11
n19_nwd1__PaYp_848	n19	PaYp	anserina	nwd1	nwd1	848	12
n13_nwd1__PaTgp_849	n13	PaTgp	anserina	nwd1	nwd1	849	1
n14_nwd1__PaTgp_850	n14	PaTgp	anserina	nwd1	nwd1	850	2
n2_nwd1__PaTgp_851	n2	PaTgp	anserina	nwd1	nwd1	851	3
!_nwd1__PaTgp_852	!	PaTgp	anserina	nwd1	nwd1	852	4
n15_nwd1__PaTgp_853	n15	PaTgp	anserina	nwd1	nwd1	853	5
n15_nwd1__PaTgp_854	n15	PaTgp	anserina	nwd1	nwd1	854	6
n16_nwd1__PaTgp_855	n16	PaTgp	anserina	nwd1	nwd1	855	7
n18_nwd1__PaTgp_856	n18	PaTgp	anserina	nwd1	nwd1	856	8
n2_nwd1__PaTgp_857	n2	PaTgp	anserina	nwd1	nwd1	857	9
n19_nwd1__PaTgp_858	n19	PaTgp	anserina	nwd1	nwd1	858	10
m1_nwd2__Podan2_859	m1	PaSp	anserina	nwd2	nwd2	859	1
m2_nwd2__Podan2_860	m2	PaSp	anserina	nwd2	nwd2	860	2
m3_nwd2__Podan2_861	m3	PaSp	anserina	nwd2	nwd2	861	3
m1_nwd2__Podan2_862	m1	PaSp	anserina	nwd2	nwd2	862	4
m4_nwd2__Podan2_863	m4	PaSp	anserina	nwd2	nwd2	863	5
m5_nwd2__Podan2_864	m5	PaSp	anserina	nwd2	nwd2	864	6
m6_nwd2__Podan2_865	m6	PaSp	anserina	nwd2	nwd2	865	7
m1_nwd2__Podan2_866	m1	PaSp	anserina	nwd2	nwd2	866	8
m6_nwd2__Podan2_867	m6	PaSp	anserina	nwd2	nwd2	867	9
m7_nwd2__PaWa28m_868	m7	PaWa28m	anserina	nwd2	nwd2	868	1
m2_nwd2__PaWa28m_869	m2	PaWa28m	anserina	nwd2	nwd2	869	2
m2_nwd2__PaWa28m_870	m2	PaWa28m	anserina	nwd2	nwd2	870	3
m1_nwd2__PaWa28m_871	m1	PaWa28m	anserina	nwd2	nwd2	871	4
m7_nwd2__PaWa46p_872	m7	PaWa46p	anserina	nwd2	nwd2	872	1
m2_nwd2__PaWa46p_873	m2	PaWa46p	anserina	nwd2	nwd2	873	2
m2_nwd2__PaWa46p_874	m2	PaWa46p	anserina	nwd2	nwd2	874	3
m1_nwd2__PaWa46p_875	m1	PaWa46p	anserina	nwd2	nwd2	875	4
m7_nwd2__PaWa137m_876	m7	PaWa137m	anserina	nwd2	nwd2	876	1
m2_nwd2__PaWa137m_877	m2	PaWa137m	anserina	nwd2	nwd2	877	2
m2_nwd2__PaWa137m_878	m2	PaWa137m	anserina	nwd2	nwd2	878	3
m1_nwd2__PaWa137m_879	m1	PaWa137m	anserina	nwd2	nwd2	879	4
m7_nwd2__PaWa21m_880	m7	PaWa21m	anserina	nwd2	nwd2	880	1
m8_nwd2__PaWa21m_881	m8	PaWa21m	anserina	nwd2	nwd2	881	2
m7_nwd2__PaWa63p_882	m7	PaWa63p	anserina	nwd2	nwd2	882	1
m8_nwd2__PaWa63p_883	m8	PaWa63p	anserina	nwd2	nwd2	883	2
m9_nwd2__PaWa100p_884	m9	PaWa100p	anserina	nwd2	nwd2	884	1
m9_nwd2__PaWa53m_885	m9	PaWa53m	anserina	nwd2	nwd2	885	1
m9_nwd2__PaWa58m_886	m9	PaWa58m	anserina	nwd2	nwd2	886	1
m9_nwd2__PaWa87p_887	m9	PaWa87p	anserina	nwd2	nwd2	887	1
m9_nwd2__PaTgp_888	m9	PaTgp	anserina	nwd2	nwd2	888	1
m9_nwd2__PaYp_889	m9	PaYp	anserina	nwd2	nwd2	889	1
m9_nwd2__PaZp.R10_890	m9	PaZp	anserina	nwd2	nwd2	890	1
o1_nwd3__PaWa63p_891	o1	PaWa63p	anserina	nwd3	nwd3	891	1
o2_nwd3__PaWa63p_892	o2	PaWa63p	anserina	nwd3	nwd3	892	2
o3_nwd3__PaWa63p_893	o3	PaWa63p	anserina	nwd3	nwd3	893	3
o4_nwd3__PaWa63p_894	o4	PaWa63p	anserina	nwd3	nwd3	894	4
o5_nwd3__PaWa63p_895	o5	PaWa63p	anserina	nwd3	nwd3	895	5
o4_nwd3__PaWa63p_896	o4	PaWa63p	anserina	nwd3	nwd3	896	6
o6_nwd3__PaWa63p_897	o6	PaWa63p	anserina	nwd3	nwd3	897	7
o7_nwd3__PaWa100p_898	o7	PaWa100p	anserina	nwd3	nwd3	898	1
o8_nwd3__PaWa100p_899	o8	PaWa100p	anserina	nwd3	nwd3	899	2
o3_nwd3__PaWa100p_900	o3	PaWa100p	anserina	nwd3	nwd3	900	3
o3_nwd3__PaWa100p_901	o3	PaWa100p	anserina	nwd3	nwd3	901	4
o9_nwd3__PaWa100p_902	o9	PaWa100p	anserina	nwd3	nwd3	902	5
o10_nwd3__PaWa100p_903	o10	PaWa100p	anserina	nwd3	nwd3	903	6
o9_nwd3__PaWa100p_904	o9	PaWa100p	anserina	nwd3	nwd3	904	7
o10_nwd3__PaWa100p_905	o10	PaWa100p	anserina	nwd3	nwd3	905	8
o9_nwd3__PaWa100p_906	o9	PaWa100p	anserina	nwd3	nwd3	906	9
o11_nwd3__PaWa100p_907	o11	PaWa100p	anserina	nwd3	nwd3	907	10
o12_nwd3__PaWa100p_908	o12	PaWa100p	anserina	nwd3	nwd3	908	11
o7_nwd3__PaWa53m_909	o7	PaWa53m	anserina	nwd3	nwd3	909	1
o13_nwd3__PaWa53m_910	o13	PaWa53m	anserina	nwd3	nwd3	910	2
o3_nwd3__PaWa53m_911	o3	PaWa53m	anserina	nwd3	nwd3	911	3
o14_nwd3__PaWa53m_912	o14	PaWa53m	anserina	nwd3	nwd3	912	4
o15_nwd3__PaWa53m_913	o15	PaWa53m	anserina	nwd3	nwd3	913	5
o15_nwd3__PaWa53m_914	o15	PaWa53m	anserina	nwd3	nwd3	914	6
o16_nwd3__PaWa53m_915	o16	PaWa53m	anserina	nwd3	nwd3	915	7
o12_nwd3__PaWa53m_916	o12	PaWa53m	anserina	nwd3	nwd3	916	8
o15_nwd3__PaWa53m_917	o15	PaWa53m	anserina	nwd3	nwd3	917	9
o17_nwd3__PaWa53m_918	o17	PaWa53m	anserina	nwd3	nwd3	918	10
o15_nwd3__PaWa58m_919	o15	PaWa58m	anserina	nwd3	nwd3	919	1
o7_nwd3__PaWa58m_920	o7	PaWa58m	anserina	nwd3	nwd3	920	2
o18_nwd3__PaWa58m_921	o18	PaWa58m	anserina	nwd3	nwd3	921	3
o3_nwd3__PaWa58m_922	o3	PaWa58m	anserina	nwd3	nwd3	922	4
o3_nwd3__PaWa58m_923	o3	PaWa58m	anserina	nwd3	nwd3	923	5
o14_nwd3__PaWa58m_924	o14	PaWa58m	anserina	nwd3	nwd3	924	6
o18_nwd3__PaWa58m_925	o18	PaWa58m	anserina	nwd3	nwd3	925	7
o12_nwd3__PaWa58m_926	o12	PaWa58m	anserina	nwd3	nwd3	926	8
o10_nwd3__PaWa58m_927	o10	PaWa58m	anserina	nwd3	nwd3	927	9
o17_nwd3__PaWa58m_928	o17	PaWa58m	anserina	nwd3	nwd3	928	10
o19_nwd3__PaWa21m_929	o19	PaWa21m	anserina	nwd3	nwd3	929	1
o4_nwd3__PaWa21m_930	o4	PaWa21m	anserina	nwd3	nwd3	930	2
o5_nwd3__PaWa21m_931	o5	PaWa21m	anserina	nwd3	nwd3	931	3
o1_nwd3__PaWa28m_932	o1	PaWa28m	anserina	nwd3	nwd3	932	1
o5_nwd3__PaWa28m_933	o5	PaWa28m	anserina	nwd3	nwd3	933	2
o4_nwd3__PaWa28m_934	o4	PaWa28m	anserina	nwd3	nwd3	934	3
o6_nwd3__PaWa28m_935	o6	PaWa28m	anserina	nwd3	nwd3	935	4
o1_nwd3__PaWa46p_936	o1	PaWa46p	anserina	nwd3	nwd3	936	1
o3_nwd3__PaWa46p_937	o3	PaWa46p	anserina	nwd3	nwd3	937	2
o4_nwd3__PaWa46p_938	o4	PaWa46p	anserina	nwd3	nwd3	938	3
o6_nwd3__PaWa46p_939	o6	PaWa46p	anserina	nwd3	nwd3	939	4
o6_nwd3__PaWa87p_940	o6	PaWa87p	anserina	nwd3	nwd3	940	1
o6_nwd3__PaWa137m_941	o6	PaWa137m	anserina	nwd3	nwd3	941	1
o20_nwd3__PaZp.R10_942	o20	PaZp	anserina	nwd3	nwd3	942	1
o9_nwd3__PaZp.R10_943	o9	PaZp	anserina	nwd3	nwd3	943	2
o21_nwd3__PaZp.R10_944	o21	PaZp	anserina	nwd3	nwd3	944	3
o8_nwd3__PaZp.R10_945	o8	PaZp	anserina	nwd3	nwd3	945	4
o22_nwd3__PaZp.R10_946	o22	PaZp	anserina	nwd3	nwd3	946	5
